doy,temp_max_clim,temp_min_clim,dtr_clim,dtr_clearsky,et0_clim,p_wet_clim,amount_clim,outflow_clim
103,27.061536740191812,16.933837731105076,10.127699009086752,14.152145037911522,,0.11266811062886056,7.471787530666668,334016.305754773
104,27.20935481283175,17.03580405605928,10.173550756772482,14.197996785597253,,0.11026758235706445,7.442310367364834,329446.5800090517
105,27.356665997735313,17.13834548052002,10.218320517215304,14.242766546040075,,0.10788046972057938,7.411164105178761,324944.2600023264
106,27.503422840789305,17.24146571814222,10.261957122647097,14.28640315147187,,0.10550711219687545,7.378263297387583,320511.86696598417
107,27.649578524558756,17.34516832428155,10.304410200277221,14.328856229101994,,0.10314785925177347,7.343526423047638,316151.7391095286
108,27.795086898237916,17.449456608876673,10.345630289361251,14.370076318186022,,0.10080307120970312,7.306876118150826,311866.02945535275
109,27.93990250802583,17.55433355029049,10.385568957735353,14.410014986560125,,0.09847312002380365,7.268239396193969,307656.704116929
110,28.083980627862214,17.659801710356287,10.424178917505943,14.448624946330714,,0.09615838994333231,7.227547857609601,303525.54102237604
111,28.227277290455334,17.765863150870878,10.461414139584463,14.485860168409234,,0.09385927807620825,7.184737887537773,299474.1290842577
112,28.369749318529994,17.872519351771782,10.497229966758226,14.521675995582997,,0.09157619484488652,7.139750841448912,295503.8678153465
113,28.511354356220284,17.979771131230134,10.531583224990165,14.556029253814936,,0.0893095643341322,7.0925332181595575,291615.9673889841
114,28.652050900528284,18.08761856788528,10.564432332643015,14.588878361467787,,0.08705982452963817,7.043036819815661,287811.4491415592
115,28.791798332767137,18.196060925440015,10.595737407327134,14.620183436151905,,0.08482742744681158,6.99121889845212,284091.1465135317
116,28.930556949903934,18.30509657982862,10.625460370075327,14.649906398900098,,0.08261283914943299,6.937042288772169,280455.70642434864
117,29.068287995715384,18.414722949161867,10.65356504655353,14.6780110753783,,0.08041653965827261,6.8804755268261,276905.5910755235
118,29.20495369166693,18.52493642664508,10.680017265021863,14.704463293846635,,0.07823902275012976,6.82149295430545,273441.0801751051
119,29.34051726742406,18.635732316656462,10.704784950767614,14.729230979592385,,0.07608079564813666,6.760074808206113,270062.27357572183
120,29.474942990902736,18.74710477416371,10.727838216739041,14.752284245563812,,0.07394237860454489,6.696207295651816,266769.09431738214
121,29.608196197764467,18.859046747647167,10.749149450117313,14.773595478942084,,0.0718243043775816,6.629882653707825,263561.2920652243
122,29.740243320260497,18.971549925687697,10.768693394572816,14.793139423397587,,0.06972711760432948,6.56109919405365,260438.4469314512
123,29.871051915328678,19.084604687366827,10.786447227961864,14.810893256786635,,0.06765137407194123,6.489861332422619,257399.97366975702
